Data Point,1_clusters,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters,10_clusters
559,0,1,1,1,4,4,6,5,5,5
560,0,1,1,3,1,1,1,1,1,1
561,0,1,1,3,3,3,4,2,2,2
562,0,0,2,2,2,2,3,7,8,8
563,0,1,1,3,3,3,4,2,2,2
564,0,1,1,3,3,3,2,5,7,7
565,0,1,1,1,1,1,1,1,1,1
566,0,1,1,1,4,4,6,5,5,5
567,0,0,2,2,2,2,2,7,7,7
568,0,1,1,3,3,3,2,2,7,0
569,0,1,1,3,3,3,4,2,2,0
570,0,1,2,2,2,2,2,7,7,7
571,0,1,1,3,3,3,4,2,2,2
572,0,1,1,1,4,4,6,3,3,5
573,0,1,1,3,3,3,4,2,2,2
574,0,0,0,0,0,0,0,0,0,0
575,0,0,2,2,2,5,5,6,6,6
576,0,0,0,0,3,3,2,2,7,0
577,0,0,0,0,0,0,0,0,0,9
578,0,0,0,0,0,0,0,0,0,9
579,0,0,0,0,0,0,0,0,0,9
580,0,1,1,1,4,4,6,3,3,3
581,0,0,0,0,0,5,5,6,6,6
582,0,1,1,1,4,4,6,5,5,5
583,0,1,1,3,3,3,4,2,2,2
584,0,1,2,2,1,1,1,4,4,4
585,0,1,1,3,3,3,4,2,2,2
586,0,1,1,3,3,3,4,2,2,2
587,0,0,0,0,0,5,5,6,6,6
588,0,1,1,1,4,4,6,5,5,5
589,0,1,1,3,3,3,4,1,1,1
590,0,1,1,3,3,3,4,2,2,2
591,0,1,1,3,3,3,2,2,7,7
592,0,1,1,1,4,4,6,5,3,3
593,0,0,0,0,0,0,0,0,0,0
594,0,1,1,3,3,3,2,2,7,7
595,0,1,1,1,4,4,6,5,5,5
596,0,1,1,1,4,4,6,3,3,5
597,0,1,1,1,4,4,6,5,5,5
598,0,0,2,2,2,2,2,7,7,7
599,0,0,0,0,3,0,0,2,2,0
600,0,0,0,0,0,0,0,0,1,0
601,0,1,2,2,2,2,2,7,7,7
602,0,0,0,0,0,0,0,0,0,9
603,0,1,1,3,3,3,4,1,1,1
604,0,0,0,0,0,0,0,0,0,9
605,0,1,1,3,3,3,4,1,1,1
606,0,1,2,2,2,2,3,1,8,8
607,0,1,1,3,3,3,4,2,2,2
608,0,1,2,2,2,2,2,7,7,7
609,0,1,1,1,4,4,6,3,3,3
610,0,1,2,2,2,2,3,7,8,8
611,0,1,1,3,3,3,4,2,2,0
612,0,1,2,1,2,2,3,3,8,5
613,0,0,0,0,0,0,0,0,7,7
614,0,1,1,3,2,2,2,5,7,7
